phred_score	R1_count	R2_count
2	3176710	3407956
3	195646	231797
4	127866	190440
5	188695	248627
6	139247	163721
7	144848	217343
8	135312	200364
9	143764	259360
10	135127	260298
11	124074	292386
12	130837	306853
13	142880	345596
14	163603	370457
15	171744	404452
16	194524	512259
17	189771	592341
18	226582	665911
19	238444	691269
20	296440	695605
21	298366	643337
22	366022	779522
23	384586	718659
24	482533	870808
25	494265	816120
26	645374	992762
27	667544	818488
28	1016726	956892
29	783361	918980
30	979809	1227812
31	1245652	1340622
32	2606090	2371137
33	10516987	4982496
34	799147	57906
